DATE,Crude,natural_gas,Cocoa,Coffee,Soybeans,soybean_oil,soybean_meal,Maize,Wheat,Banana,Orange,Beef,Chicken,Sugar,Cotton,Rubber,Phosphate,Aluminum,Iron ore,Copper,Gold,President,CPI
1/1/1960,1.63,0.14,0.63,0.94,94,204,91.9,45,59.89,0.14,0.12,0.71,0.3,0.12,0.65,0.82,13,511.47,11.42,715.4,35.27,Republican,29.37
2/1/1960,1.63,0.14,0.61,0.95,91,201,86.7,44,60.99,0.14,0.11,0.71,0.3,0.12,0.65,0.83,13,511.47,11.42,728.19,35.27,Republican,29.41
3/1/1960,1.63,0.14,0.58,0.93,92,201,84.1,45,61.73,0.14,0.13,0.77,0.3,0.12,0.65,0.86,13,511.47,11.42,684.94,35.27,Republican,29.41
4/1/1960,1.63,0.14,0.6,0.93,93,207,86.7,45,60.99,0.14,0.14,0.84,0.3,0.12,0.64,0.86,13,511.47,11.42,723.11,35.27,Republican,29.54
5/1/1960,1.63,0.14,0.6,0.92,93,209,81.5,48,57.69,0.15,0.14,0.76,0.3,0.12,0.65,0.93,13,511.47,11.42,684.75,35.27,Republican,29.57
6/1/1960,1.63,0.14,0.59,0.91,91,218,80.3,47,55.48,0.15,0.14,0.71,0.3,0.13,0.66,0.89,13,511.47,11.42,691.59,35.27,Republican,29.61
7/1/1960,1.63,0.14,0.6,0.92,92,224,77.7,47,54.75,0.15,0.13,0.75,0.3,0.13,0.66,0.79,13,511.47,11.42,702.39,35.27,Republican,29.55
8/1/1960,1.63,0.14,0.59,0.93,93,237,77.7,47,55.12,0.13,0.13,0.78,0.3,0.13,0.65,0.72,13,511.47,11.42,675.94,35.27,Republican,29.61
9/1/1960,1.63,0.14,0.58,0.92,92,231,82.8,46,56.59,0.14,0.13,0.81,0.3,0.13,0.66,0.73,13,511.47,11.42,647.06,35.27,Republican,29.61
10/1/1960,1.63,0.14,0.59,0.92,88,237,75.1,42,56.95,0.15,0.13,0.71,0.3,0.13,0.67,0.69,13,511.47,11.42,612.66,35.27,Republican,29.75
